"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Heatr5a",1.24035585651954e-08,0.411968488452636,0.14,0.106,0.000278695557401376
"Erlin2",1.27148806624741e-08,-0.400404713207209,0.16,0.2,0.00028569065360513
"Uqcc1",1.28534570660492e-08,0.295785391824645,0.237,0.193,0.00028880432681706
"Sdf4",1.30236567159551e-08,-0.359765104650257,0.2,0.242,0.000292628542750795
"Slc39a14",1.32863794398229e-08,0.493204085154376,0.126,0.094,0.000298531659633382
"Nipal3",1.34890665699623e-08,-0.303496807525902,0.324,0.366,0.000303085836760482
"Herc6",1.37898949968007e-08,-0.367018081330309,0.546,0.568,0.000309845150683116
"Ginm1",1.40907059368785e-08,-0.470129059836673,0.122,0.158,0.000316604071695723
"Lrrc75b",1.41599315481436e-08,-0.46542422814401,0.114,0.15,0.000318159501955239
"Ring1",1.41939678488006e-08,-0.492196221411348,0.093,0.126,0.000318924263594701
"Wdr59",1.45601406432958e-08,0.382881091888039,0.13,0.097,0.000327151800114212
"Cep112",1.45626252903999e-08,0.260320285671507,0.35,0.301,0.000327207627649996
"Mccc2",1.4720233481522e-08,0.335592610154073,0.201,0.16,0.000330748926096318
"Tes",1.47649970292107e-08,-0.317569625531361,0.203,0.247,0.000331754718249336
"Egr1",1.49134206457038e-08,0.256226258353184,0.513,0.482,0.000335089648488318
"Wdr41",1.49821661489249e-08,0.292220967680024,0.248,0.204,0.000336634291200194
"Wnk3",1.53921608264591e-08,0.401933742821109,0.136,0.102,0.000345846461609709
"Tram1",1.5827197133512e-08,-0.327532276459469,0.218,0.263,0.000355621292392882
"Kazn",1.59684301994672e-08,0.36031351783622,0.197,0.157,0.000358794658151828
"Slc31a2",1.60038073692297e-08,-0.468069860299038,0.152,0.19,0.000359589547779222
"Gm43260",1.6026908002284e-08,0.354180823687564,0.16,0.124,0.00036010859590332
"Cstf2t",1.70007308795009e-08,-0.527009716799132,0.076,0.107,0.000381989422131505
"Stxbp6",1.70518211379789e-08,0.403758276398981,0.243,0.203,0.000383137369149249
"Tfam",1.70690373524427e-08,-0.497529974970548,0.082,0.114,0.000383524200272036
"Bclaf3",1.7266344384813e-08,0.322517934309367,0.169,0.131,0.000387957491982362
"Derl2",1.79967144390006e-08,-0.490199404314929,0.108,0.143,0.000404368176729905
"Vps50",1.80844007765834e-08,0.311909397731722,0.206,0.165,0.000406338401049052
"Ndufs5",1.81767379413829e-08,-0.328378671669363,0.221,0.264,0.000408413124804933
"Ilrun",1.83084367075277e-08,0.279265280274618,0.225,0.182,0.000411372264381439
"Rcbtb1",1.8355472659785e-08,0.305163168608705,0.242,0.199,0.000412429115192708
"Stac2",1.84693969893766e-08,-0.403876100743214,0.137,0.175,0.000414988880954303
"Pnpla7",1.85875458781374e-08,0.392844034788597,0.167,0.13,0.000417643568335869
"Blmh",1.8795697878234e-08,0.291487396500224,0.213,0.172,0.00042232053562604
"Parp9",1.89094257188363e-08,-0.401245261743146,0.312,0.349,0.000424875886476533
"Srsf3",1.95445469029766e-08,-0.260500517962224,0.365,0.41,0.000439146424362982
"Gcc2",1.95561778924898e-08,0.26964304251277,0.274,0.228,0.000439407761066354
"Recql5",1.98387123552669e-08,0.392456754062292,0.139,0.105,0.000445756027910493
"Rnf24",1.99212499888584e-08,0.368034484399808,0.15,0.114,0.00044761056599966
"Leprotl1",2.01259604740831e-08,-0.481776399784751,0.09,0.123,0.000452210205892172
"Wipf2",2.01538347275121e-08,0.350427987366552,0.198,0.158,0.000452836512492469
"E530011L22Rik",2.02090796109177e-08,-0.591179871593651,0.071,0.101,0.00045407780977771
"Frem2",2.0360959855992e-08,0.334303469317688,0.233,0.192,0.000457490407004285
